2019-09-23 10:19:21 status unpacked findutils:armhf 4.6.0+git+20170828-2
2019-09-23 10:19:21 install gcc-8-base:armhf <none> 8-20180414-1ubuntu2
2019-09-23 10:19:21 status half-installed gcc-8-base:armhf 8-20180414-1ubuntu2
2019-09-23 10:19:21 status unpacked gcc-8-base:armhf 8-20180414-1ubuntu2
2019-09-23 10:19:21 status unpacked gcc-8-base:armhf 8-20180414-1ubuntu2
2019-09-23 10:19:21 install grep:armhf <none> 3.1-2
2019-09-23 10:19:21 status half-installed grep:armhf 3.1-2
2019-09-23 10:19:21 status unpacked grep:armhf 3.1-2
2019-09-23 10:19:21 status unpacked grep:armhf 3.1-2
2019-09-23 10:19:22 install gzip:armhf <none> 1.6-5ubuntu1
2019-09-23 10:19:22 status half-installed gzip:armhf 1.6-5ubuntu1
2019-09-23 10:19:22 status unpacked gzip:armhf 1.6-5ubuntu1
2019-09-23 10:19:22 status unpacked gzip:armhf 1.6-5ubuntu1
2019-09-23 10:19:22 install hostname:armhf <none> 3.20
2019-09-23 10:19:22 status half-installed hostname:armhf 3.20
2019-09-23 10:19:22 status unpacked hostname:armhf 3.20
2019-09-23 10:19:22 status unpacked hostname:armhf 3.20
2019-09-23 10:19:22 install init-system-helpers:all <none> 1.51
2019-09-23 10:19:22 status half-installed init-system-helpers:all 1.51
2019-09-23 10:19:22 status unpacked init-system-helpers:all 1.51
2019-09-23 10:19:22 status unpacked init-system-helpers:all 1.51
2019-09-23 10:19:22 install libacl1:armhf <none> 2.2.52-3build1
2019-09-23 10:19:22 status half-installed libacl1:armhf 2.2.52-3build1
2019-09-23 10:19:23 status unpacked libacl1:armhf 2.2.52-3build1
2019-09-23 10:19:23 status unpacked libacl1:armhf 2.2.52-3build1
2019-09-23 10:19:23 install libattr1:armhf <none> 1:2.4.47-2build1
2019-09-23 10:19:23 status half-installed libattr1:armhf 1:2.4.47-2build1
2019-09-23 10:19:23 status unpacked libattr1:armhf 1:2.4.47-2build1
2019-09-23 10:19:23 status unpacked libattr1:armhf 1:2.4.47-2build1
2019-09-23 10:19:23 install libaudit-common:all <none> 1:2.8.2-1ubuntu1
2019-09-23 10:19:23 status half-installed libaudit-common:all 1:2.8.2-1ubuntu1
2019-09-23 10:19:23 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2019-09-23 10:19:23 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2019-09-23 10:19:23 install libaudit1:armhf <none> 1:2.8.2-1ubuntu1
2019-09-23 10:19:23 status half-installed libaudit1:armhf 1:2.8.2-1ubuntu1
2019-09-23 10:19:23 status unpacked libaudit1:armhf 1:2.8.2-1ubuntu1
2019-09-23 10:19:23 status unpacked libaudit1:armhf 1:2.8.2-1ubuntu1
2019-09-23 10:19:23 install libblkid1:armhf <none> 2.31.1-0.4ubuntu3
2019-09-23 10:19:23 status half-installed libblkid1:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:23 status unpacked libblkid1:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:23 status unpacked libblkid1:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:24 install libbz2-1.0:armhf <none> 1.0.6-8.1
2019-09-23 10:19:24 status half-installed libbz2-1.0:armhf 1.0.6-8.1
2019-09-23 10:19:24 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2019-09-23 10:19:24 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2019-09-23 10:19:24 install libc-bin:armhf <none> 2.27-3ubuntu1
2019-09-23 10:19:24 status half-installed libc-bin:armhf 2.27-3ubuntu1
2019-09-23 10:19:24 status unpacked libc-bin:armhf 2.27-3ubuntu1
2019-09-23 10:19:24 status unpacked libc-bin:armhf 2.27-3ubuntu1
2019-09-23 10:19:25 upgrade libc6:armhf 2.27-3ubuntu1 2.27-3ubuntu1
2019-09-23 10:19:25 status half-configured libc6:armhf 2.27-3ubuntu1
2019-09-23 10:19:25 status unpacked libc6:armhf 2.27-3ubuntu1
2019-09-23 10:19:25 status half-installed libc6:armhf 2.27-3ubuntu1
2019-09-23 10:19:27 status half-installed libc6:armhf 2.27-3ubuntu1
2019-09-23 10:19:27 status unpacked libc6:armhf 2.27-3ubuntu1
2019-09-23 10:19:27 status unpacked libc6:armhf 2.27-3ubuntu1
2019-09-23 10:19:27 install libcap-ng0:armhf <none> 0.7.7-3.1
2019-09-23 10:19:27 status half-installed libcap-ng0:armhf 0.7.7-3.1
2019-09-23 10:19:27 status unpacked libcap-ng0:armhf 0.7.7-3.1
2019-09-23 10:19:27 status unpacked libcap-ng0:armhf 0.7.7-3.1
2019-09-23 10:19:27 install libcom-err2:armhf <none> 1.44.1-1
2019-09-23 10:19:27 status half-installed libcom-err2:armhf 1.44.1-1
2019-09-23 10:19:28 status unpacked libcom-err2:armhf 1.44.1-1
2019-09-23 10:19:28 status unpacked libcom-err2:armhf 1.44.1-1
2019-09-23 10:19:28 install libdb5.3:armhf <none> 5.3.28-13.1ubuntu1
2019-09-23 10:19:28 status half-installed libdb5.3:armhf 5.3.28-13.1ubuntu1
2019-09-23 10:19:28 status unpacked libdb5.3:armhf 5.3.28-13.1ubuntu1
2019-09-23 10:19:28 status unpacked libdb5.3:armhf 5.3.28-13.1ubuntu1
2019-09-23 10:19:28 install libdebconfclient0:armhf <none> 0.213ubuntu1
2019-09-23 10:19:28 status half-installed libdebconfclient0:armhf 0.213ubuntu1
2019-09-23 10:19:28 status unpacked libdebconfclient0:armhf 0.213ubuntu1
2019-09-23 10:19:28 status unpacked libdebconfclient0:armhf 0.213ubuntu1
2019-09-23 10:19:28 install libext2fs2:armhf <none> 1.44.1-1
2019-09-23 10:19:28 status half-installed libext2fs2:armhf 1.44.1-1
2019-09-23 10:19:28 status unpacked libext2fs2:armhf 1.44.1-1
2019-09-23 10:19:28 status unpacked libext2fs2:armhf 1.44.1-1
2019-09-23 10:19:29 install libfdisk1:armhf <none> 2.31.1-0.4ubuntu3
2019-09-23 10:19:29 status half-installed libfdisk1:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:29 status unpacked libfdisk1:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:29 status unpacked libfdisk1:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:29 install libgcc1:armhf <none> 1:8-20180414-1ubuntu2
2019-09-23 10:19:29 status half-installed libgcc1:armhf 1:8-20180414-1ubuntu2
2019-09-23 10:19:29 status unpacked libgcc1:armhf 1:8-20180414-1ubuntu2
2019-09-23 10:19:29 status unpacked libgcc1:armhf 1:8-20180414-1ubuntu2
2019-09-23 10:19:29 install libgcrypt20:armhf <none> 1.8.1-4ubuntu1
2019-09-23 10:19:29 status half-installed libgcrypt20:armhf 1.8.1-4ubuntu1
2019-09-23 10:19:29 status unpacked libgcrypt20:armhf 1.8.1-4ubuntu1
2019-09-23 10:19:29 status unpacked libgcrypt20:armhf 1.8.1-4ubuntu1
2019-09-23 10:19:30 install libgpg-error0:armhf <none> 1.27-6
2019-09-23 10:19:30 status half-installed libgpg-error0:armhf 1.27-6
2019-09-23 10:19:30 status unpacked libgpg-error0:armhf 1.27-6
2019-09-23 10:19:30 status unpacked libgpg-error0:armhf 1.27-6
2019-09-23 10:19:30 install liblz4-1:armhf <none> 0.0~r131-2ubuntu3
2019-09-23 10:19:30 status half-installed liblz4-1:armhf 0.0~r131-2ubuntu3
2019-09-23 10:19:30 status unpacked liblz4-1:armhf 0.0~r131-2ubuntu3
2019-09-23 10:19:30 status unpacked liblz4-1:armhf 0.0~r131-2ubuntu3
2019-09-23 10:19:30 install liblzma5:armhf <none> 5.2.2-1.3
2019-09-23 10:19:30 status half-installed liblzma5:armhf 5.2.2-1.3
2019-09-23 10:19:30 status unpacked liblzma5:armhf 5.2.2-1.3
2019-09-23 10:19:30 status unpacked liblzma5:armhf 5.2.2-1.3
2019-09-23 10:19:30 install libmount1:armhf <none> 2.31.1-0.4ubuntu3
2019-09-23 10:19:30 status half-installed libmount1:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:30 status unpacked libmount1:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:30 status unpacked libmount1:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:31 install libncurses5:armhf <none> 6.1-1ubuntu1
2019-09-23 10:19:31 status half-installed libncurses5:armhf 6.1-1ubuntu1
2019-09-23 10:19:31 status unpacked libncurses5:armhf 6.1-1ubuntu1
2019-09-23 10:19:31 status unpacked libncurses5:armhf 6.1-1ubuntu1
2019-09-23 10:19:31 install libncursesw5:armhf <none> 6.1-1ubuntu1
2019-09-23 10:19:31 status half-installed libncursesw5:armhf 6.1-1ubuntu1
2019-09-23 10:19:31 status unpacked libncursesw5:armhf 6.1-1ubuntu1
2019-09-23 10:19:31 status unpacked libncursesw5:armhf 6.1-1ubuntu1
2019-09-23 10:19:31 install libpam-modules:armhf <none> 1.1.8-3.6ubuntu2
2019-09-23 10:19:31 status half-installed libpam-modules:armhf 1.1.8-3.6ubuntu2
2019-09-23 10:19:32 status unpacked libpam-modules:armhf 1.1.8-3.6ubuntu2
2019-09-23 10:19:32 status unpacked libpam-modules:armhf 1.1.8-3.6ubuntu2
2019-09-23 10:19:32 install libpam-modules-bin:armhf <none> 1.1.8-3.6ubuntu2
2019-09-23 10:19:32 status half-installed libpam-modules-bin:armhf 1.1.8-3.6ubuntu2
2019-09-23 10:19:32 status unpacked libpam-modules-bin:armhf 1.1.8-3.6ubuntu2
2019-09-23 10:19:32 status unpacked libpam-modules-bin:armhf 1.1.8-3.6ubuntu2
2019-09-23 10:19:32 install libpam-runtime:all <none> 1.1.8-3.6ubuntu2
2019-09-23 10:19:32 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2019-09-23 10:19:32 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2019-09-23 10:19:32 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2019-09-23 10:19:33 install libpam0g:armhf <none> 1.1.8-3.6ubuntu2
2019-09-23 10:19:33 status half-installed libpam0g:armhf 1.1.8-3.6ubuntu2
2019-09-23 10:19:33 status unpacked libpam0g:armhf 1.1.8-3.6ubuntu2
2019-09-23 10:19:33 status unpacked libpam0g:armhf 1.1.8-3.6ubuntu2
2019-09-23 10:19:33 install libpcre3:armhf <none> 2:8.39-9
2019-09-23 10:19:33 status half-installed libpcre3:armhf 2:8.39-9
2019-09-23 10:19:33 status unpacked libpcre3:armhf 2:8.39-9
2019-09-23 10:19:33 status unpacked libpcre3:armhf 2:8.39-9
2019-09-23 10:19:33 install libprocps6:armhf <none> 2:3.3.12-3ubuntu1
2019-09-23 10:19:33 status half-installed libprocps6:armhf 2:3.3.12-3ubuntu1
2019-09-23 10:19:33 status unpacked libprocps6:armhf 2:3.3.12-3ubuntu1
2019-09-23 10:19:33 status unpacked libprocps6:armhf 2:3.3.12-3ubuntu1
2019-09-23 10:19:33 install libselinux1:armhf <none> 2.7-2build2
2019-09-23 10:19:33 status half-installed libselinux1:armhf 2.7-2build2
2019-09-23 10:19:34 status unpacked libselinux1:armhf 2.7-2build2
2019-09-23 10:19:34 status unpacked libselinux1:armhf 2.7-2build2
2019-09-23 10:19:34 install libsemanage-common:all <none> 2.7-2build2
2019-09-23 10:19:34 status half-installed libsemanage-common:all 2.7-2build2
2019-09-23 10:19:34 status unpacked libsemanage-common:all 2.7-2build2
2019-09-23 10:19:34 status unpacked libsemanage-common:all 2.7-2build2
2019-09-23 10:19:34 install libsemanage1:armhf <none> 2.7-2build2
2019-09-23 10:19:34 status half-installed libsemanage1:armhf 2.7-2build2
2019-09-23 10:19:34 status unpacked libsemanage1:armhf 2.7-2build2
2019-09-23 10:19:34 status unpacked libsemanage1:armhf 2.7-2build2
2019-09-23 10:19:34 install libsepol1:armhf <none> 2.7-1
2019-09-23 10:19:34 status half-installed libsepol1:armhf 2.7-1
2019-09-23 10:19:35 status unpacked libsepol1:armhf 2.7-1
2019-09-23 10:19:35 status unpacked libsepol1:armhf 2.7-1
2019-09-23 10:19:35 install libsmartcols1:armhf <none> 2.31.1-0.4ubuntu3
2019-09-23 10:19:35 status half-installed libsmartcols1:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:35 status unpacked libsmartcols1:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:35 status unpacked libsmartcols1:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:35 install libss2:armhf <none> 1.44.1-1
2019-09-23 10:19:35 status half-installed libss2:armhf 1.44.1-1
2019-09-23 10:19:35 status unpacked libss2:armhf 1.44.1-1
2019-09-23 10:19:35 status unpacked libss2:armhf 1.44.1-1
2019-09-23 10:19:35 install libsystemd0:armhf <none> 237-3ubuntu10
2019-09-23 10:19:35 status half-installed libsystemd0:armhf 237-3ubuntu10
2019-09-23 10:19:35 status unpacked libsystemd0:armhf 237-3ubuntu10
2019-09-23 10:19:35 status unpacked libsystemd0:armhf 237-3ubuntu10
2019-09-23 10:19:36 install libtinfo5:armhf <none> 6.1-1ubuntu1
2019-09-23 10:19:36 status half-installed libtinfo5:armhf 6.1-1ubuntu1
2019-09-23 10:19:36 status unpacked libtinfo5:armhf 6.1-1ubuntu1
2019-09-23 10:19:36 status unpacked libtinfo5:armhf 6.1-1ubuntu1
2019-09-23 10:19:36 install libudev1:armhf <none> 237-3ubuntu10
